Country Name,2018,2019,2020
Low income,4.255724017,4.074088499,3.868094764
Liechtenstein,,,
Sri Lanka,2.9,2.7,2.6
Lower middle income,10.76578762,10.18235635,9.668597211
Low & middle income,7.167660705,6.849412761,6.58687095
Lesotho,6.1,5.7,5.4
Late-demographic dividend,4.621344645,4.483918327,4.420933587
Lithuania,21.9,21.8,21.8
Luxembourg,20.3,20.1,19.8
Latvia,23.8,23.8,23.7
"Macao SAR, China",,,
St. Martin (French part),,,
Morocco,0.9,0.9,0.8
Monaco,,,
Moldova,6.1,6.2,6.2
Madagascar,14.2,13.5,12.8
Maldives,6.7,6.4,6
Middle East & North Africa,3.159044162,3.04872956,2.932502129
Mexico,6.6,6.4,6.2
Marshall Islands,8.4,8.3,8.3
Middle income,7.39091908,7.066050807,6.803027307
North Macedonia,,,
Mali,1.2,1.1,1
Malta,22.1,21.8,21.6
Myanmar,22,20.8,19.7
Middle East & North Africa (excluding high income),2.960994348,2.845756051,2.733425993
Montenegro,31.4,31.3,31.1
Mongolia,7.3,7.2,7.1
Northern Mariana Islands,,,
Mozambique,6.2,5.9,5.6
Mauritania,2.4,2.2,2.1
Mauritius,3.1,3.1,3
Malawi,4.6,4.3,4.1
Malaysia,1.3,1.2,1.1
North America,17.61993771,17.11425241,16.78279273
Namibia,6.7,6.3,6
New Caledonia,,,
Niger,1.2,1.2,1.1
Nigeria,0.6,0.5,0.5
Nicaragua,,,
Netherlands,20.8,20.3,19.9
Norway,17,16.2,15.4
Nepal,14.8,13.8,12.8
Nauru,50.7,49.9,49.1
New Zealand,13.4,12.8,12.3
OECD members,16.95809329,16.66380562,16.38317939
Oman,0.4,0.4,0.4
Other small states,12.92297408,12.73088304,12.46660311
Pakistan,8.1,7.7,7.3
Panama,2.4,2.3,2.2
Peru,3.4,3.2,3
Philippines,6.9,6.7,6.5
Palau,8.4,8.1,7.9
Papua New Guinea,26.1,25.6,25.1
Poland,21.2,20.7,20.1
Pre-demographic dividend,3.204699544,3.042391111,2.885835766
Puerto Rico,,,
"Korea, Dem. People's Rep.",0,0,0
Portugal,19.7,20,20.2
Paraguay,5,4.7,4.4
West Bank and Gaza,,,
Pacific island small states,13.89085036,13.63090884,13.41183024
Post-demographic dividend,17.91061633,17.60034434,17.3108286
French Polynesia,,,
Qatar,2,2,1.9
Romania,20.4,20.2,20
Russian Federation,12.7,12.7,12.8
Rwanda,7.7,7.4,7.2
South Asia,13.96742274,13.20839915,12.5363221
Saudi Arabia,2.1,2.1,2
Sudan,,,
Senegal,0.7,0.7,0.7
Singapore,5.1,5,5
Solomon Islands,19.9,19.6,19.2
Sierra Leone,7.3,6.8,6.4
El Salvador,1.9,1.8,1.7
San Marino,,,
Somalia,,,
Serbia,39,39,39.1
Sub-Saharan Africa (excluding high income),3.128321864,2.976528434,2.824081388
South Sudan,,,
Sub-Saharan Africa,3.128785505,2.976963949,2.824502074
Small states,11.75617829,11.56318533,11.32855229
Sao Tome and Principe,1.5,1.4,1.3
Suriname,,,
Slovak Republic,25.1,25.4,25.6
Slovenia,20,19.8,19.6
Sweden,19.6,19,18.2
Eswatini,2,1.9,1.8
Sint Maarten (Dutch part),,,
Seychelles,6.9,6.6,6.4
Syrian Arab Republic,,,
Turks and Caicos Islands,,,
Chad,2.9,2.8,2.7
East Asia & Pacific (IDA & IBRD countries),3.014633994,2.88636081,2.834272388
Europe & Central Asia (IDA & IBRD countries),14.25216645,14.21534235,14.19640985
Togo,1.4,1.3,1.2
Thailand,3.1,3,2.9
Tajikistan,,,
Turkmenistan,0.5,0.5,0.4
Latin America & the Caribbean (IDA & IBRD countries),9.107722076,8.800404945,8.5422695
Timor-Leste,11.5,11.2,10.8
Middle East & North Africa (IDA & IBRD countries),2.960994348,2.845756051,2.733425993
Tonga,15.2,15.2,15.3
South Asia (IDA & IBRD),13.96742274,13.20839915,12.5363221
Sub-Saharan Africa (IDA & IBRD countries),3.128785505,2.976963949,2.824502074
Trinidad and Tobago,,,
Tunisia,2.2,2.1,2
Turkiye,18.6,18.9,19.2
Tuvalu,22,21.7,21.3
Tanzania,3.6,3.5,3.4
Uganda,4.3,4,3.7
Ukraine,11.7,11.6,11.5
Upper middle income,4.419152797,4.293710113,4.227090747
Uruguay,19.3,18.8,18.5
United States,18.3,17.8,17.5
Uzbekistan,1.1,1.1,1.1
St. Vincent and the Grenadines,,,
"Venezuela, RB",,,
British Virgin Islands,,,
Virgin Islands (U.S.),,,
Viet Nam,2.3,2.2,2.2
Vanuatu,2.7,2.7,2.6
World,9.29388031,8.96461296,8.686439779
Samoa,15.2,14.9,14.5
Kosovo,,,
"Yemen, Rep.",8.6,8.3,8.1
South Africa,7,6.7,6.5
Zambia,4,3.9,3.7
Zimbabwe,1.7,1.6,1.5
